,id,hemisphere,structure
143,144,L,cortex
144,145,L,cortex
145,146,L,cortex
146,147,L,cortex
147,148,L,cortex
148,149,L,cortex
149,150,L,cortex
150,151,L,cortex
151,152,L,cortex
152,153,L,cortex
153,154,L,cortex
154,155,L,cortex
155,156,L,cortex
156,157,L,cortex
157,158,L,cortex
158,159,L,cortex
159,160,L,cortex
160,161,L,cortex
161,162,L,cortex
162,163,L,cortex
163,164,L,cortex
164,165,L,cortex
165,166,L,cortex
166,167,L,cortex
167,168,L,cortex
168,169,L,cortex
169,170,L,cortex
170,171,L,cortex
171,172,L,cortex
172,173,L,cortex
173,174,L,cortex
174,175,L,cortex
175,176,L,cortex
176,177,L,cortex
177,178,L,cortex
178,179,L,cortex
179,180,L,cortex
180,181,L,cortex
181,182,L,cortex
182,183,L,cortex
183,184,L,cortex
184,185,L,cortex
185,186,L,cortex
186,187,L,cortex
187,188,L,cortex
188,189,L,cortex
189,190,L,cortex
190,191,L,cortex
191,192,L,cortex
192,193,L,cortex
193,194,L,cortex
194,195,L,cortex
195,196,L,cortex
196,197,L,cortex
197,198,L,cortex
198,199,L,cortex
199,200,L,cortex
200,201,R,cortex
201,202,R,cortex
202,203,R,cortex
203,204,R,cortex
204,205,R,cortex
205,206,R,cortex
206,207,R,cortex
207,208,R,cortex
208,209,R,cortex
209,210,R,cortex
210,211,R,cortex
211,212,R,cortex
212,213,R,cortex
213,214,R,cortex
214,215,R,cortex
215,216,R,cortex
216,217,R,cortex
217,218,R,cortex
218,219,R,cortex
219,220,R,cortex
220,221,R,cortex
221,222,R,cortex
222,223,R,cortex
223,224,R,cortex
224,225,R,cortex
225,226,R,cortex
226,227,R,cortex
227,228,R,cortex
228,229,R,cortex
229,230,R,cortex
230,231,R,cortex
231,232,R,cortex
232,233,R,cortex
233,234,R,cortex
234,235,R,cortex
235,236,R,cortex
236,237,R,cortex
237,238,R,cortex
238,239,R,cortex
239,240,R,cortex
240,241,R,cortex
241,242,R,cortex
242,243,R,cortex
243,244,R,cortex
244,245,R,cortex
245,246,R,cortex
246,247,R,cortex
247,248,R,cortex
248,249,R,cortex
249,250,R,cortex
250,251,R,cortex
251,252,R,cortex
252,253,R,cortex
253,254,R,cortex
254,255,R,cortex
255,256,R,cortex
256,257,R,cortex
257,258,R,cortex
258,259,R,cortex
259,260,R,cortex
260,261,R,cortex
261,262,R,cortex
262,263,R,cortex
263,264,R,cortex
264,265,R,cortex
265,266,R,cortex
266,267,R,cortex
267,268,R,cortex
268,269,R,cortex
269,270,R,cortex
270,271,R,cortex
271,272,R,cortex
272,273,R,cortex
273,274,R,cortex
274,275,R,cortex
275,276,R,cortex
276,277,R,cortex
277,278,R,cortex
278,279,R,cortex
279,280,R,cortex
280,281,R,cortex
281,282,R,cortex
282,283,R,cortex
283,284,R,cortex
284,285,R,cortex
285,286,R,cortex
286,287,R,cortex
287,288,R,cortex
288,289,R,cortex
289,290,R,cortex
290,291,R,cortex
291,292,R,cortex
292,293,R,cortex
293,294,R,cortex
294,295,R,cortex
295,296,R,cortex
296,297,R,cortex
297,298,R,cortex
298,299,R,cortex
299,300,R,cortex
300,301,R,cortex
301,302,R,cortex
302,303,R,cortex
303,304,R,cortex
304,305,R,cortex
305,306,R,cortex
306,307,R,cortex
307,308,R,cortex
308,309,R,cortex
309,310,R,cortex
310,311,R,cortex
311,312,R,cortex
312,313,R,cortex
313,314,R,cortex
314,315,R,cortex
315,316,R,cortex
316,317,R,cortex
317,318,R,cortex
318,319,R,cortex
319,320,R,cortex
320,321,R,cortex
321,322,R,cortex
322,323,R,cortex
323,324,R,cortex
324,325,R,cortex
325,326,R,cortex
326,327,R,cortex
327,328,R,cortex
328,329,R,cortex
329,330,R,cortex
330,331,R,cortex
331,332,R,cortex
332,333,R,cortex
333,334,R,cortex
334,335,R,cortex
335,336,R,cortex
336,337,R,cortex
337,338,R,cortex
338,339,R,cortex
339,340,R,cortex
340,341,R,cortex
341,342,R,cortex
342,343,R,cortex
343,344,R,cortex
344,345,R,cortex
345,346,R,cortex
346,347,R,cortex
347,348,R,cortex
348,349,R,cortex
349,350,R,cortex
350,351,R,cortex
351,352,R,cortex
352,353,R,cortex
353,354,R,cortex
354,355,R,cortex
355,356,R,cortex
356,357,R,cortex
357,358,R,cortex
358,359,R,cortex
359,360,R,cortex
360,361,R,cortex
361,362,R,cortex
362,363,R,cortex
363,364,R,cortex
364,365,R,cortex
365,366,R,cortex
366,367,R,cortex
367,368,R,cortex
368,369,R,cortex
369,370,R,cortex
370,371,R,cortex
371,372,R,cortex
372,373,R,cortex
373,374,R,cortex
374,375,R,cortex
375,376,R,cortex
376,377,R,cortex
377,378,R,cortex
378,379,R,cortex
379,380,R,cortex
380,381,R,cortex
381,382,R,cortex
382,383,R,cortex
383,384,R,cortex
384,385,R,cortex
385,386,R,cortex
386,387,R,cortex
387,388,R,cortex
388,389,R,cortex
389,390,R,cortex
390,391,R,cortex
391,392,R,cortex
392,393,R,cortex
393,394,R,cortex
394,395,R,cortex
395,396,R,cortex
396,397,R,cortex
397,398,R,cortex
398,399,R,cortex
399,400,R,cortex
